case,a,b,true_retention,lower_retention,upper_retention,status
2757,7.184990330693861,1.37057390687984,0.7849158634527155,0.784726617768009,0.7853831147599346,underresolved
2758,0.04509982805194198,0.2903453284285132,2.5500048527872567e-05,0.0,1.0,indeterminate
2759,0.05982611724825191,0.13944106808959816,2.9413997614885226e-05,0.0,1.0,indeterminate
2760,3.0947756203707657,0.10277621366637797,0.08808774521793412,0.04681943674221143,0.12491051044228083,underresolved
2761,0.03970555775671129,0.9422498962859619,4.2826421841543006e-05,0.0,1.0,indeterminate
2762,0.5582236072012294,0.09019353312304956,0.010402358392939,0.0,0.05323339463528875,underresolved
2763,1.85295954812298,2.312670292587679,0.625552604651085,0.6252351992525895,0.6259507451342102,underresolved
2764,0.045511809808709905,0.9704358508626395,6.54477947201172e-05,0.0,1.0,indeterminate
2765,2.5344118571605003,0.6671972621665321,0.4467231735995027,0.4460626726417949,0.44818280570022356,underresolved
2766,0.045937771637702664,0.08715199069155605,8.390168961739933e-06,0.0,1.0,indeterminate
