radius,total_true,total_filtered,broad_true
3.090295432513592e-05,0.015290129487163,4.9698575409693294e-06,5.095035812308284e-06
3.1069433403527046e-05,0.015372499028304317,4.996630945687947e-06,5.1224835720748885e-06
3.123680933091352e-05,0.015455312294246019,5.023548582951313e-06,5.15007919724301e-06
3.140508693876217e-05,0.015538571675194207,5.0506112297628645e-06,5.177823484386862e-06
3.1574271084567465e-05,0.015622279574227902,5.077819667311847e-06,5.20571723437189e-06
3.174436665199206e-05,0.015706438407368465,5.105174680995907e-06,5.233761252377942e-06
3.191537855100758e-05,0.015791050603649194,5.132677060443742e-06,5.261956347922484e-06
3.2087311718036664e-05,0.015876118605185518,5.1603275995379365e-06,5.290303334884018e-06
3.2260171116095e-05,0.015961644867245172,5.188127096437808e-06,5.318803031525495e-06
3.2433961734934935e-05,0.016047631858319186,5.216076353602503e-06,5.347456260518e-06
3.2608688591189355e-05,0.016134082060192963,5.244176177814133e-06,5.376263848964465e-06
3.2784356728516494e-05,0.016220997968017847,5.2724273802010665e-06,5.405226628423554e-06
3.296097121774576e-05,0.01630838209038319,5.300830776261379e-06,5.434345434933695e-06
3.313853715702372e-05,0.016396236949388472,5.32938718588633e-06,5.463621109037157e-06
3.3317059671961525e-05,0.01648456508071616,5.3580974333840734e-06,5.493054495804353e-06
3.3496543915782794e-05,0.01657336903370478,5.386962347503439e-06,5.522646444858224e-06
3.367699506947231e-05,0.016662651371422386,5.415982761457849e-06,5.552397810398748e-06
3.385841834192584e-05,0.016752414670740595,5.445159512949408e-06,5.582309451227652e-06
3.404081897010009e-05,0.016842661522408663,5.474493444193023e-06,5.612382230773128e-06
3.422420221916414e-05,0.016933394531128337,5.503985401940755e-06,5.6426170171147986e-06
3.440857338265136e-05,0.01702461631562889,5.533636237506249e-06,5.673014683008773e-06
3.459393778261217e-05,0.017116329508742596,5.563446806789302e-06,5.703576105912824e-06
3.478030076976789e-05,0.01720853675748078,5.593417970300615e-06,5.734302168011754e-06
3.496766772366483e-05,0.017301240723109887,5.623550593186555e-06,5.765193756242808e-06
3.515604405282983e-05,0.017394444081228397,5.653845545254185e-06,5.796251762321309e-06
3.5345435194926314e-05,0.01748814952184386,5.6843037009963515e-06,5.827477082766393e-06
3.553584661691117e-05,0.01758235974945045,5.714925939616923e-06,5.858870618926871e-06
3.572728381519288e-05,0.01767707748310705,5.745713145056214e-06,5.8904332770073004e-06
3.591975231578972e-05,0.01777230545651544,5.7766662060164245e-06,5.922165968094066e-06
3.611325767448956e-05,0.01786804641809921,5.807786015987349e-06,5.954069608181733e-06
3.6307805477010174e-05,0.017964303131082982,5.8390734732721495e-06,5.986145118199473e-06
3.650340133916042e-05,0.01806107837357202,5.87052948101328e-06,6.018393424037635e-06
3.67000509070026e-05,0.01815837493863243,5.902154947218596e-06,6.050815456574524e-06
3.6897759857015046e-05,0.018256195634371475,5.933950784787501e-06,6.083412151703192e-06
3.7096533896256224e-05,0.018354543284018657,5.965917911537347e-06,6.11618445035851e-06
3.7296378762529434e-05,0.01845342072600705,5.998057250229906e-06,6.149133298544312e-06
3.749730022454834e-05,0.018552830814055087,6.030369728598001e-06,6.182259647360691e-06
3.7699304082103816e-05,0.018652776417248957,6.062856279372342e-06,6.2155644530315045e-06
3.790239616623088e-05,0.018753260420125057,6.0955178403083605e-06,6.249048676931899e-06
3.810658233937734e-05,0.01885428572275331,6.128355354213341e-06,6.282713285616111e-06
3.831186849557285e-05,0.018955855240820656,6.161369768973606e-06,6.316559250845351e-06
3.851826056059937e-05,0.019057971905715232,6.194562037581929e-06,6.350587549615892e-06
3.872576449216173e-05,0.01916063866461065,6.227933118164965e-06,6.384799164187202e-06
3.8934386280059944e-05,0.019263858480551056,6.261483974010965e-06,6.419195082110353e-06
3.914413194636194e-05,0.019367634332536462,6.295215573597547e-06,6.4537762962564896e-06
3.935500754557772e-05,0.019471969215608773,6.329128890619717e-06,6.4885438048455564e-06
3.9567019164833636e-05,0.01957686614093784,6.3632249040178834e-06,6.523498611475019e-06
3.9780172924048414e-05,0.019682328135908374,6.3975045980061724e-06,6.5586417251489e-06
3.999447497610978e-05,0.019788358244207202,6.431968962100836e-06,6.593974160306883e-06
4.0209931507051914e-05,0.0198949595259109,6.466618991148783e-06,6.629496936853581e-06
