h,chi,s_max,C_max,s_limit,C_limit,relative_C_error
0.001,0.4,2.260673718428354,0.3675514990563252,2.267158061957531,0.3678765756745755,0.0008836567472505497
0.001,0.42,2.242201794039058,0.3687215712459868,2.248648040129095,0.36904284322408243,0.0008705546903141625
0.001,0.44,2.224903208648696,0.3698197372576255,2.2313141725283403,0.37013740891834923,0.000858253321792124
0.001,0.46,2.208715108212373,0.37084941140993477,2.215093526573474,0.3711636810745567,0.0008467144837881468
0.001,0.48,2.1935770191062187,0.3718139650995145,2.199925367008736,0.3721250246474356,0.0008359006444562667
0.001,0.5,2.17943057224832,0.3727167120153414,2.1857511752934666,0.3730247465337424,0.0008257750223366056
0.001,0.52,2.1662196407926793,0.37356089519991464,2.1725146637018007,0.3738660827176098,0.0008163016967914771
0.001,0.54,2.1538905042064473,0.3743496759236087,2.1601617831639635,0.37465218722279053,0.0008074457043059091
0.001,0.56,2.142391343800958,0.37508612431349087,2.1486407241334247,0.37538612281272044,0.0007991731206836716
0.001,0.58,2.131672698382715,0.3757732116567691,2.1379019100138135,0.3760708533583809,0.0007914511293651838
0.001,0.6,2.12168745946616,0.37641380428214843,2.127897982917,0.3767092377772072,0.0007842480763200488
0.001,0.62,2.112390433548894,0.3770106589096156,2.1185837817421582,0.3773040254336431,0.0007775335121069649
0.001,0.64,2.103738815480181,0.37756641935028057,2.1099163127596148,0.3778578528831688,0.0007712782218617376
0.001,0.66,2.0956919100264715,0.3780836144325956,2.1018547130493923,0.37837324183639576,0.0007654542440540535
0.001,0.68,2.0882109200434775,0.37856465702913056,2.0943602072805865,0.3788525982177554,0.0007600348789461586
0.001,0.7000000000000001,2.0812592190983494,0.37901184405870303,2.087396058423817,0.37929821219397775,0.0007549946877373204
0.001,0.72,2.0748021796335228,0.37942735734159067,2.080927513065701,0.3797122590505147,0.0007503094833873902
0.001,0.74,2.068807027997048,0.3798132651903547,2.07492174204366,0.3800968007988886,0.0007459563141229975
0.001,0.76,2.063242874913497,0.3801715246250539,2.0693477771438977,0.3804537884042035,0.0007419134406141392
0.001,0.78,2.058080577711079,0.3805039841089469,2.0641764446082607,0.3807850645293692,0.0007381603077570853
0.001,0.8,2.053292721163532,0.3808123867088063,2.0593802961803185,0.38109236670060526,0.0007346775119715376
0.001,0.8200000000000001,2.0488536322003763,0.3810983735924041,2.054933538390703,0.3813773308072082,0.0007314467648448231
0.001,0.84,2.0447391498205687,0.3813634877843125,2.0508119607399866,0.38164149485712534,0.0007284508539012746
0.001,0.86,2.040926641745758,0.38160917810967493,2.04699286338713,0.38188630291836434,0.0007256736012044573
0.001,0.88,2.0373948440419167,0.38183680326388464,2.0434549848956953,0.38211310918451874,0.0007230998204269534
0.001,0.9,2.034123820001787,0.3820476359540119,2.0401784305309727,0.38232318211056365,0.0007207152729546973
0.001,0.92,2.031095110511829,0.38224286706526456,2.03714460154102,0.3825177085724898,0.0007185066235257942
0.001,0.9400000000000001,2.02829139934456,0.3824236098126809,2.034336125795039,0.38269779801122583,0.0007164613958319244
0.001,0.96,2.0256964188006976,0.3825909038445982,2.0317367900948717,0.3828644865276154,0.0007145679284554785
0.001,0.98,2.0232951413143017,0.38274571927019846,2.029331474420709,0.3830187409009468,0.0007128153314538421
0.001,1.0,2.0210735023555637,0.38288896058861316,2.0271060883210668,0.3831614625086854,0.0007111934438501777
0.001,1.02,2.019018319659804,0.38302147050167357,2.025047509610221,0.38329349112964095,0.0007096927922404239
0.001,1.04,2.0171175854351726,0.3831440335964531,2.0231435254938326,0.3834156086168412,0.0007083045506879326
0.001,1.06,2.015359763150092,0.38325737988730146,2.0213827762055407,0.3835285424299133,0.0007070205020305309
0.001,1.08,2.013734389111677,0.3833621882101337,2.019754701203839,0.3836329690198241,0.000705833000699152
0.001,1.1,2.0122316013943466,0.38345908946437607,2.018249487949395,0.38372951706145014,0.0007047349371113176
0.001,1.12,2.0108424372744813,0.38354866970019913,2.0168580232579187,0.3838187705316664,0.0007037197036849907
0.001,1.1400000000000001,2.009558342593931,0.3836314730505466,2.0155718472024913,0.38390127163250304,0.0007027811624825686
